Sample	Year	Plot	Condition	Replicate	Compartment	Generation	Generation_condition
A1M01E	2022	Plot1	Mature	1	Endosphere	F0	F0_Mature
A1M01R	2022	Plot1	Mature	1	Rhizosphere	F0	F0_Mature
A1M02E	2022	Plot1	Mature	2	Endosphere	F0	F0_Mature
A1M02R	2022	Plot1	Mature	2	Rhizosphere	F0	F0_Mature
A1M03E	2022	Plot1	Mature	3	Endosphere	F0	F0_Mature
A1M03R	2022	Plot1	Mature	3	Rhizosphere	F0	F0_Mature
A1M04E	2022	Plot1	Mature	4	Endosphere	F0	F0_Mature
A1M04R	2022	Plot1	Mature	4	Rhizosphere	F0	F0_Mature
A1M05E	2022	Plot1	Mature	5	Endosphere	F0	F0_Mature
A1M05R	2022	Plot1	Mature	5	Rhizosphere	F0	F0_Mature
A1M06E	2022	Plot1	Mature	6	Endosphere	F0	F0_Mature
A1M06R	2022	Plot1	Mature	6	Rhizosphere	F0	F0_Mature
A1M07E	2022	Plot1	Mature	7	Endosphere	F0	F0_Mature
A1M07R	2022	Plot1	Mature	7	Rhizosphere	F0	F0_Mature
A1M08E	2022	Plot1	Mature	8	Endosphere	F0	F0_Mature
A1M08R	2022	Plot1	Mature	8	Rhizosphere	F0	F0_Mature
A1M09E	2022	Plot1	Mature	9	Endosphere	F0	F0_Mature
A1M09R	2022	Plot1	Mature	9	Rhizosphere	F0	F0_Mature
A1M10E	2022	Plot1	Mature	10	Endosphere	F0	F0_Mature
A1M10R	2022	Plot1	Mature	10	Rhizosphere	F0	F0_Mature
A1M11E	2022	Plot1	Mature	11	Endosphere	F0	F0_Mature
A1M11R	2022	Plot1	Mature	11	Rhizosphere	F0	F0_Mature
A1M12E	2022	Plot1	Mature	12	Endosphere	F0	F0_Mature
A1M12R	2022	Plot1	Mature	12	Rhizosphere	F0	F0_Mature
A1S01E	2022	Plot1	Immature	1	Endosphere	F1	F1_Immature
A1S01R	2022	Plot1	Immature	1	Rhizosphere	F1	F1_Immature
A1S02E	2022	Plot1	Immature	2	Endosphere	F1	F1_Immature
A1S02R	2022	Plot1	Immature	2	Rhizosphere	F1	F1_Immature
A1S03E	2022	Plot1	Immature	3	Endosphere	F1	F1_Immature
A1S03R	2022	Plot1	Immature	3	Rhizosphere	F1	F1_Immature
A1S04E	2022	Plot1	Immature	4	Endosphere	F1	F1_Immature
A1S04R	2022	Plot1	Immature	4	Rhizosphere	F1	F1_Immature
A1S05E	2022	Plot1	Immature	5	Endosphere	F1	F1_Immature
A1S05R	2022	Plot1	Immature	5	Rhizosphere	F1	F1_Immature
A1S06E	2022	Plot1	Immature	6	Endosphere	F1	F1_Immature
A1S06R	2022	Plot1	Immature	6	Rhizosphere	F1	F1_Immature
A1S07E	2022	Plot1	Immature	7	Endosphere	F1	F1_Immature
A1S07R	2022	Plot1	Immature	7	Rhizosphere	F1	F1_Immature
A1S08E	2022	Plot1	Immature	8	Endosphere	F1	F1_Immature
A1S08R	2022	Plot1	Immature	8	Rhizosphere	F1	F1_Immature
A1S09E	2022	Plot1	Immature	9	Endosphere	F1	F1_Immature
A1S09R	2022	Plot1	Immature	9	Rhizosphere	F1	F1_Immature
A1S10E	2022	Plot1	Immature	10	Endosphere	F1	F1_Immature
A1S10R	2022	Plot1	Immature	10	Rhizosphere	F1	F1_Immature
A1S11E	2022	Plot1	Immature	11	Endosphere	F1	F1_Immature
A1S11R	2022	Plot1	Immature	11	Rhizosphere	F1	F1_Immature
A1S12E	2022	Plot1	Immature	12	Endosphere	F1	F1_Immature
A1S12R	2022	Plot1	Immature	12	Rhizosphere	F1	F1_Immature
A2M01E	2022	Plot2	Mature	1	Endosphere	F0	F0_Mature
A2M01R	2022	Plot2	Mature	1	Rhizosphere	F0	F0_Mature
A2M02E	2022	Plot2	Mature	2	Endosphere	F0	F0_Mature
A2M02R	2022	Plot2	Mature	2	Rhizosphere	F0	F0_Mature
A2M03E	2022	Plot2	Mature	3	Endosphere	F0	F0_Mature
A2M03R	2022	Plot2	Mature	3	Rhizosphere	F0	F0_Mature
A2M04E	2022	Plot2	Mature	4	Endosphere	F0	F0_Mature
A2M04R	2022	Plot2	Mature	4	Rhizosphere	F0	F0_Mature
A2M05E	2022	Plot2	Mature	5	Endosphere	F0	F0_Mature
A2M05R	2022	Plot2	Mature	5	Rhizosphere	F0	F0_Mature
A2M06E	2022	Plot2	Mature	6	Endosphere	F0	F0_Mature
A2M06R	2022	Plot2	Mature	6	Rhizosphere	F0	F0_Mature
A2M07E	2022	Plot2	Mature	7	Endosphere	F0	F0_Mature
A2M07R	2022	Plot2	Mature	7	Rhizosphere	F0	F0_Mature
A2M08E	2022	Plot2	Mature	8	Endosphere	F0	F0_Mature
A2M08R	2022	Plot2	Mature	8	Rhizosphere	F0	F0_Mature
A2M09E	2022	Plot2	Mature	9	Endosphere	F0	F0_Mature
A2M09R	2022	Plot2	Mature	9	Rhizosphere	F0	F0_Mature
A2M10E	2022	Plot2	Mature	10	Endosphere	F0	F0_Mature
A2M10R	2022	Plot2	Mature	10	Rhizosphere	F0	F0_Mature
A2M11E	2022	Plot2	Mature	11	Endosphere	F0	F0_Mature
A2M11R	2022	Plot2	Mature	11	Rhizosphere	F0	F0_Mature
A2M12E	2022	Plot2	Mature	12	Endosphere	F0	F0_Mature
A2M12R	2022	Plot2	Mature	12	Rhizosphere	F0	F0_Mature
A2S01E	2022	Plot2	Immature	1	Endosphere	F1	F1_Immature
A2S01R	2022	Plot2	Immature	1	Rhizosphere	F1	F1_Immature
A2S02E	2022	Plot2	Immature	2	Endosphere	F1	F1_Immature
